	Model	Fold_1	Fold_2	Fold_3	Fold_4	Fold_5	Fold_6	Fold_7	Fold_8	Fold_9	Fold_10	Average
0	RF	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1	LDA	0.9798933114485022	0.9815346737792368	0.979072630283135	0.9811243331965531	0.9819450143619204	0.9778416085350842	0.979072630283135	0.9815346737792368	0.9790812141099262	0.9827727645611156	0.9803872854337845
2	QDA	0.25810422650800163	0.16208453016003282	0.15100533442757488	0.22076323348379154	0.16249487074271646	0.14936397209684038	0.2958555601148954	0.15880180549856382	0.2317473338802297	0.29901558654634947	0.20892364534589963
3	XGB	0.83258104226508	0.8354534263438654	0.8288879770209274	0.8268362741075093	0.8362741075092327	0.8231432088633566	0.829298317603611	0.829298317603611	0.8256767842493847	0.837571780147662	0.8305021235714241
4	SVM_Linear	0.9971276159212146	0.9979482970865818	0.9979482970865818	0.9975379565038982	0.9967172753385309	0.9967172753385309	0.9975379565038982	0.9983586376692655	0.9971287940935193	0.9979491386382281	0.997497124418025
5	SVM_RBF	0.9597866228970046	0.9593762823143209	0.9589659417316373	0.9560935576528519	0.9552728764874846	0.9528108329913828	0.9565038982355355	0.95814526056627	0.9589827727645611	0.9589827727645611	0.9574920818405609
6	KNN	0.6791136643414034	0.7127615921214608	0.6594173163725893	0.710299548625359	0.689372178908494	0.6836274107509233	0.6881411571604432	0.6975789905621665	0.6931911402789172	0.6870385561936013	0.6900541555315358
7	LR	0.9885104636848584	0.9893311448502257	0.9901518260155929	0.9897414854329093	0.988920804267542	0.9860484201887567	0.9872794419368075	0.9901518260155929	0.9889253486464314	0.9889253486464314	0.9887986109685147
8	GNB	0.769798933114485	0.7751333606893722	0.7722609766105868	0.7849815346737793	0.7931883463274518	0.766516208453016	0.7751333606893722	0.774312679524005	0.7793273174733388	0.77850697292863	0.7769159690484038
9	MNB	0.8818219121871153	0.8822322527697989	0.8826425933524825	0.8871563397620025	0.8822322527697989	0.884283955683217	0.8805908904390645	0.8838736151005334	0.8777686628383922	0.8859721082854799	0.8828574583187884
